20 19
1478.98 0 25.2118
1483.83 1 227.189
1485.76 0 74.0817
1490.66 0 37.1244
1493.97 1 101.639
1498.95 1 225.792
1502.71 1 11.6958
1504.57 1 18.816
0 0 0












/* RESULTS */

Pass 1: Business servers exclusively serve business class 

Number of people served: 500
Time last service is completed 2205.03

Business class customers: 
Average total service time: 372.856
Average total time in queue: 220.277
Average length of queue: 26.0732
Maximum number queued: 66

Tourist class customers: 
Average total service time: 372.322
Average total time in queue: 214.248
Average length of queue: 23.222
Maximum number queued: 59

All customers: 
Average total service time: 372.601
Average total time in queue: 217.395
Average length of queue: 49.2952
Maximum number queued: 123

Business class servers: 
Total idle time for business class server 1: 241.76
Total idle time for business class server 2: 246.476
Total idle time for business class server 3: 238.024
Total idle time for business class server 4: 331.234
Total idle time for business class server 5: 293.923
Total idle time for business class server 6: 306.37
Total idle time for business class server 7: 266.405
Total idle time for business class server 8: 310.272
Total idle time for business class server 9: 220.325
Total idle time for business class server 10: 216.483
Total idle time for business class server 11: 227.063
Total idle time for business class server 12: 155.172
Total idle time for business class server 13: 166.75
Total idle time for business class server 14: 246.385
Total idle time for business class server 15: 176.813
Total idle time for business class server 16: 200.022
Total idle time for business class server 17: 112.625
Total idle time for business class server 18: 191.729
Total idle time for business class server 19: 102.793
Total idle time for business class server 20: 26.9619

Tourist class servers: 
Total idle time for tourist class server 1: 375.758
Total idle time for tourist class server 2: 312.061
Total idle time for tourist class server 3: 284.598
Total idle time for tourist class server 4: 295.059
Total idle time for tourist class server 5: 241.885
Total idle time for tourist class server 6: 225.644
Total idle time for tourist class server 7: 299.069
Total idle time for tourist class server 8: 236.656
Total idle time for tourist class server 9: 238.362
Total idle time for tourist class server 10: 214.315
Total idle time for tourist class server 11: 292.786
Total idle time for tourist class server 12: 171.953
Total idle time for tourist class server 13: 239.918
Total idle time for tourist class server 14: 129.06
Total idle time for tourist class server 15: 111.557
Total idle time for tourist class server 16: 155.177
Total idle time for tourist class server 17: 121.16
Total idle time for tourist class server 18: 84.4263
Total idle time for tourist class server 19: 86.7197

Pass 2: Idle business servers may serve tourist class

Number of people served: 500
Time last service is completed 2211.34

Business class customers: 
Average total service time: 379.729
Average total time in queue: 227.15
Average length of queue: 26.81
Maximum number queued: 67

Tourist class customers: 
Average total service time: 368.384
Average total time in queue: 210.311
Average length of queue: 22.7302
Maximum number queued: 58

All customers: 
Average total service time: 374.306
Average total time in queue: 219.101
Average length of queue: 49.5401
Maximum number queued: 124

Business class servers: 
Total idle time for business class server 1: 371.57
Total idle time for business class server 2: 317.432
Total idle time for business class server 3: 282.127
Total idle time for business class server 4: 296.092
Total idle time for business class server 5: 316.167
Total idle time for business class server 6: 317.067
Total idle time for business class server 7: 308.569
Total idle time for business class server 8: 176.675
Total idle time for business class server 9: 209.128
Total idle time for business class server 10: 173.954
Total idle time for business class server 11: 246.982
Total idle time for business class server 12: 176.255
Total idle time for business class server 13: 172.032
Total idle time for business class server 14: 214.361
Total idle time for business class server 15: 163.282
Total idle time for business class server 16: 110.673
Total idle time for business class server 17: 73.689
Total idle time for business class server 18: 110.969
Total idle time for business class server 19: 126.283
Total idle time for business class server 20: 80.3545

Tourist class servers: 
Total idle time for tourist class server 1: 300.945
Total idle time for tourist class server 2: 359.943
Total idle time for tourist class server 3: 245.439
Total idle time for tourist class server 4: 262.721
Total idle time for tourist class server 5: 331.26
Total idle time for tourist class server 6: 221.034
Total idle time for tourist class server 7: 255.64
Total idle time for tourist class server 8: 244.047
Total idle time for tourist class server 9: 232.648
Total idle time for tourist class server 10: 233.97
Total idle time for tourist class server 11: 190.874
Total idle time for tourist class server 12: 244.392
Total idle time for tourist class server 13: 252.697
Total idle time for tourist class server 14: 186.783
Total idle time for tourist class server 15: 204.725
Total idle time for tourist class server 16: 170.895
Total idle time for tourist class server 17: 159.717
Total idle time for tourist class server 18: 139.963
Total idle time for tourist class server 19: 158.469
